,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
15788,Kronos 1,4697.882324,7.0,77.53939819,34.8586998,0.219649896,8.830400467,2.6612939840000003,2.592665911,2.7040460110000004
15789,Kronos 1,4698.034668,7.0,74.92456055,36.81940842,0.216217205,8.980546951,2.3460750580000003,2.305736065,2.687439919
15790,Kronos 1,4698.1870119999985,7.0,73.03690300000002,36.80653999,0.211112459,9.107200617,2.0804219180000003,2.128788006,2.677008388
15791,Kronos 1,4698.339356,7.0,72.45129422,34.59624323,0.218566483,9.098256073,2.070979614,2.146933081,2.674053194
15792,Kronos 1,4698.491699,7.0,72.86814956,32.18735214,0.227669114,9.039492545,2.463069075,2.513779173,2.676515105
15793,Kronos 1,4698.644043,7.0,73.44460997,29.98042139,0.234575867,8.992108526,3.094235707,3.065974816,2.678806593
15794,Kronos 1,4698.7963869999985,7.0,73.57649404,29.16587537,0.239707575,8.990980425,3.36905338,3.3122343030000003,2.683679442
15795,Kronos 1,4698.948731,7.0,73.03008521,28.053586300000006,0.228731522,9.059634825,3.288857639,3.314991576,2.694269055
15796,Kronos 1,4699.101075,7.0,71.49144149,26.70849949,0.234273485,9.165200324,3.153153237,3.273227191,2.708295925
15797,Kronos 1,4699.253418,7.0,69.33658128,25.72677127,0.250589429,9.246757864,2.936613372,3.138520358,2.72173108
15798,Kronos 1,4699.4057619999985,7.0,67.43261514,25.68517259,0.24618356,9.414380337999999,2.769833493,3.054055972,2.730266233
15799,Kronos 1,4699.558106,7.0,66.35183321,26.57288885,0.251170663,9.509117801,2.8544813010000003,3.192013891,2.729076005
15800,Kronos 1,4699.71045,7.0,66.47593921,27.91303684,0.276816162,9.46880605,3.115787455,3.483381068,2.713611427
15801,Kronos 1,4699.862794,7.0,67.7264235,29.5010782,0.339315971,9.342399832,3.024859459,3.429259449,2.684517678
15802,Kronos 1,4700.0151369999985,7.0,69.38708158,29.36298071,0.352996386,9.270087769,2.447754785,2.929031534,2.662646062
15803,Kronos 1,4700.167481,7.0,70.82012276,25.78867624,0.30693967,9.15182997,2.352997989,2.936629218,2.660233604
15804,Kronos 1,4700.319825,7.0,71.46934646,21.17009587,0.257490841,8.788371782999999,2.931700643,3.403095299,2.67270645
15805,Kronos 1,4700.472169,7.0,70.62297488,20.09829716,0.239221821,8.580334965,3.160931464,3.653394983,2.6789781130000003
15806,Kronos 1,4700.624513000002,7.0,68.12739425,19.04939851,0.221154014,8.373309442,3.387883527,3.902282046,2.6852070510000003
15807,Kronos 1,4700.776856,7.0,64.85687510000001,18.00050671,0.203143464,8.166943286,3.614833619,4.151169033,2.691418449
15808,Kronos 1,4700.9292,7.0,62.14015449,17.76329588,0.182343775,8.272448571,3.917484682,4.292690116,2.695364097
15809,Kronos 1,4701.081544,7.0,60.90316171,17.17973844,0.172205241,8.505438044,4.477550428,4.2467361760000015,2.699268613
15810,Kronos 1,4701.233888000002,7.0,61.25631263,18.392001500000006,0.212919455,8.633633851,4.464839803,3.990411872,2.6931552830000003
15811,Kronos 1,4701.386232,7.0,62.91878538,21.49060404,0.315888921,8.740950397999999,3.515488158,3.45787922,2.675161065
15812,Kronos 1,4701.538575,7.0,65.93419079,26.25146448,0.368469571,9.003427947999999,2.190993797,2.327876276,2.658511727
15813,Kronos 1,4701.690919,7.0,70.55570946,33.67541994,0.413318601,9.490028647,1.33483032,1.41613143,2.66006241
15814,Kronos 1,4701.843263000002,7.0,76.40938546,42.37303464,0.4361692170000001,10.44804212,0.991565847,1.037090139,2.673878089
15815,Kronos 1,4701.995607,7.0,82.33798391,49.31851305,0.447811767,11.31398073,0.717572763,0.734464771,2.693627823
15816,Kronos 1,4702.147951,7.0,86.97825576,51.56658931,0.446740294,11.69390331,0.582348662,0.622504166,2.697917986
15817,Kronos 1,4702.300294,7.0,89.7013225,51.30104055,0.452167393,10.97577683,0.746350394,0.802187688,2.6638901
15818,Kronos 1,4702.452638000002,7.0,91.35099667,49.82161125,0.469516249,9.902634521,0.980396573,0.934840709,2.599827688
15819,Kronos 1,4702.604982,7.0,93.27683009,47.44164786,0.463476014,9.241388581,1.0410377709999998,0.937252941,2.544756226
15820,Kronos 1,4702.757326,7.0,95.73131134,43.15346751,0.479140186,9.114192132000001,0.995702153,0.914137218,2.527530476
15821,Kronos 1,4702.90967,7.0,97.7116054,38.11396571,0.471937626,9.509417005,1.002706347,0.963571236,2.546798152
15822,Kronos 1,4703.062013000002,7.0,98.13406016,32.15711509,0.458400693,10.11814864,1.1119567540000002,1.108404139,2.583050914
15823,Kronos 1,4703.214357,7.0,96.70587685,27.16804269,0.477250934,10.69110686,1.221622413,1.132333756,2.611187965
15824,Kronos 1,4703.366701,7.0,94.02098361,23.92318442,0.486869865,10.98534551,1.20071947,1.118234599,2.624295056
15825,Kronos 1,4703.519045,7.0,90.88314397,21.6232858,0.501575903,10.95297814,1.182112653,1.161695646,2.628404231
15826,Kronos 1,4703.671389,7.0,87.66890304,18.89841389,0.4312804220000001,10.85207966,1.63221321,1.593915265,2.645327301
15827,Kronos 1,4703.823732,7.0,84.67523052,16.6890535,0.400672308,10.82514449,2.714145505,2.546666106,2.656475604
15828,Kronos 1,4703.976076,7.0,82.39833284,15.04543219,0.432057195,10.53961625,3.662918195,3.272122243,2.66132468
15829,Kronos 1,4704.12842,7.0,81.36478461,14.0723093,0.408383049,10.20244164,3.683276507,3.326625227,2.6517490830000003
15830,Kronos 1,4704.280764,7.0,82.1639097,13.55605021,0.421808236,9.729881169,3.336556401,3.114079992,2.647358875
15831,Kronos 1,4704.433108,7.0,84.21817668,14.49956412,0.449657875,9.40704985,2.646722283,2.608174758,2.643022363
15832,Kronos 1,4704.585451,7.0,85.58748942,15.32938924,0.4077268020000001,9.272716042999999,2.502650226,2.510630197,2.642980602
15833,Kronos 1,4704.737795,7.0,85.39450799,15.03336232,0.339459143,9.214752304,2.864354289,2.857337837,2.643800045
15834,Kronos 1,4704.890139,7.0,84.50013695,14.32255413,0.259816314,9.03368638,3.129869186,3.145003489,2.656792458
15835,Kronos 1,4705.042483,7.0,83.25157817,15.02468467,0.244207681,8.704736075,3.346167532,3.29536712,2.6657385540000003
15836,Kronos 1,4705.194827,7.0,80.46537778,15.9743033,0.252455675,8.435450887,3.301990032,3.180976034,2.677707978
15837,Kronos 1,4705.34717,7.0,75.50927792,18.90296193,0.267994023,8.649956198,2.88277476,2.811768645,2.671545358
15838,Kronos 1,4705.499514,7.0,71.23999121,23.94440025,0.340425415,8.897271092,2.282467117,2.2573565,2.662378069
15839,Kronos 1,4705.651858,7.0,71.45355731,28.8881221,0.372654696,8.956052103,1.760658469,1.7881069980000002,2.645683582
15840,Kronos 1,4705.804202,7.0,75.03745566,30.59551177,0.386369455,8.893465407999999,1.938738551,2.036973763,2.635755111
15841,Kronos 1,4705.956546,7.0,77.45218377,30.66649883,0.394100193,8.957803505,2.30010399,2.377783462,2.633653456
15842,Kronos 1,4706.108889,7.0,77.06631999,30.38449901,0.383413224,9.198335273,2.6880555010000005,2.694145385,2.635683798
15843,Kronos 1,4706.261233,7.0,74.79904043,30.06597055,0.381500184,9.332773929,2.926714399,2.934262177,2.644260088
15844,Kronos 1,4706.413577,7.0,72.88475349,28.3201147,0.367801199,9.305477044,3.131145184,3.21238347,2.650299906
15845,Kronos 1,4706.565921,7.0,72.09320513,28.40216521,0.370083317,9.163708384,3.28893792,3.363608915,2.65763587
15846,Kronos 1,4706.718265,7.0,71.25451603,29.59998347,0.345188001,9.020008724,3.606214196,3.67493354,2.663444565
15847,Kronos 1,4706.870608,7.0,69.93352266,30.61509077,0.347160053,8.984907655,3.863479826,3.833814742,2.672130829
15848,Kronos 1,4707.022952,7.0,68.52854141,29.37899365,0.322588086,9.028743198999999,3.79126942,3.789549849,2.680270906
15849,Kronos 1,4707.175296,7.0,67.43365372,28.11036715,0.332315599,9.056756059,3.450168435,3.594131688,2.678785183
15850,Kronos 1,4707.32764,7.0,67.14730324,27.46206288,0.341511147,9.083729126,3.185158227,3.3637943260000003,2.674869982
15851,Kronos 1,4707.479984000001,7.0,67.48415815,27.56882608,0.35103440700000005,9.188054325,3.035610668,3.231419461,2.667808663
15852,Kronos 1,4707.632327,7.0,68.2478669,27.3160087,0.367657659,9.361706809,3.061441668,3.210042797,2.666220279
15853,Kronos 1,4707.784671,7.0,69.48204832,27.37399202,0.350955144,9.560147735,3.336177881,3.464939882,2.662291217
15854,Kronos 1,4707.937015,7.0,70.92992669,27.21958481,0.345017638,9.675539565,3.724100371,3.939146851,2.659966636
15855,Kronos 1,4708.089359000001,7.0,72.11010054,27.60009831,0.366696766,9.871855502,3.492021901,3.692474472,2.659929429
15856,Kronos 1,4708.241703,7.0,72.70371873,28.68682289,0.394543032,9.967537187000001,2.855147854,3.0062251630000003,2.665742168
15857,Kronos 1,4708.394046,7.0,73.10753968,31.82101027,0.404190612,10.05958276,2.321094362,2.401889551,2.674464694
15858,Kronos 1,4708.54639,7.0,73.80844001,35.56728173,0.414477031,10.07795848,2.116592957,2.164013783,2.672796676
15859,Kronos 1,4708.698734000001,7.0,74.55966804,41.1687738,0.464298465,10.07789457,1.875117744,1.865897038,2.6565473980000003
15860,Kronos 1,4708.851078,7.0,75.16479583,49.70161601,0.514032387,10.13536852,1.373346681,1.339372009,2.620418336
15861,Kronos 1,4709.003422,7.0,76.27904082,59.29666019,0.532779724,10.20321772,0.988944199,0.980662389,2.592324127
15862,Kronos 1,4709.155765,7.0,78.76020241,66.67791417,0.535309177,10.49160129,0.855603442,0.874647552,2.577409934
15863,Kronos 1,4709.308109000001,7.0,82.63052582,71.09877445,0.56130089,10.84855828,0.873797778,0.900409197,2.572141759
15864,Kronos 1,4709.460453,7.0,86.95818025,74.90578742,0.536887961,11.18762451,0.915562297,0.92785732,2.564079901
15865,Kronos 1,4709.612797,7.0,90.65856211,80.12467912,0.525455879,11.33277215,0.934856256,0.934843868,2.556447452
15866,Kronos 1,4709.765141,7.0,93.2080378,84.26995697,0.537314469,11.19962065,0.929803939,0.937373582,2.560915825
15867,Kronos 1,4709.917484000001,7.0,94.68455442,83.81903764,0.533947713,10.95033677,0.919959238,0.930765374,2.572385711
15868,Kronos 1,4710.069828,7.0,95.35564988,81.23985566,0.5221415110000001,10.7692133,0.888798367,0.8927395579999999,2.579073531
15869,Kronos 1,4710.222172,7.0,95.39500858,78.60153306,0.510061525,10.58966111,0.8571070890000001,0.853910196,2.585633046
15870,Kronos 1,4710.374516,7.0,95.02756928,75.9713996,0.497980207,10.4100817,0.825320637,0.814963925,2.592192901
15871,Kronos 1,4710.52686,7.0,94.6351313,75.20099743,0.502790292,10.2357574,0.7489337359999999,0.73597251,2.610093913
15872,Kronos 1,4710.679203,7.0,94.54325004,75.86011927,0.50221778,10.42121041,0.646089644,0.642109555,2.63725176
15873,Kronos 1,4710.831547,7.0,94.83194553,77.37038374,0.480911161,10.80260157,0.53805448,0.542083918,2.664337991
15874,Kronos 1,4710.983891,7.0,95.40044907,80.53726405,0.474978767,11.1039125,0.5227681160000001,0.526524065,2.672861713
15875,Kronos 1,4711.136235,7.0,96.06270976,83.44177088,0.461645852,11.04067813,0.5571978329999999,0.556697665,2.667399195
15876,Kronos 1,4711.288579,7.0,96.52929826,85.30148304,0.443649049,10.86761549,0.546191344,0.549007402,2.659239751
15877,Kronos 1,4711.440922,7.0,96.42764032,85.52967834,0.44745148,10.69483258,0.52570908,0.531081868,2.6540744590000003
15878,Kronos 1,4711.593266,7.0,95.54336926,86.62326483,0.456767963,10.54696043,0.5307382979999999,0.537182929,2.654196632
15879,Kronos 1,4711.74561,7.0,94.09288775,88.85723563,0.439468399,10.46618702,0.581094303,0.581463961,2.656257246
15880,Kronos 1,4711.897954,7.0,92.56615527,91.84354688,0.418970665,10.37738017,0.629194368,0.619928676,2.658700565
15881,Kronos 1,4712.050298,7.0,91.33455971,94.80373895,0.396000247,10.2594029,0.622806912,0.612604419,2.66198705
15882,Kronos 1,4712.202641,7.0,90.61649789,96.5771247,0.39132841,10.13273156,0.578539493,0.573602457,2.6674951030000003
15883,Kronos 1,4712.354985,7.0,90.53445197,96.83222824,0.388739385,10.06495167,0.556706469,0.543020327,2.675054201
15884,Kronos 1,4712.507329,7.0,91.03148926,95.72649017,0.384788477,10.06586231,0.5554221460000001,0.53040166,2.680033135
15885,Kronos 1,4712.659673,7.0,91.8977115,93.96995976,0.394972237,10.24158482,0.532560456,0.499988024,2.685235651
15886,Kronos 1,4712.812017,7.0,92.9218459,91.99527008,0.396441227,10.66617075,0.499054461,0.463786351,2.696000492
15887,Kronos 1,4712.96436,7.0,93.96189419,91.63317658,0.390330752,11.15665979,0.456209116,0.433482023,2.705287456
15888,Kronos 1,4713.116704,7.0,94.93264168,93.92909722,0.3795410320000001,11.34860583,0.458471613,0.444329119,2.7078672160000004
15889,Kronos 1,4713.269048,7.0,95.66595962,96.45376326,0.393400392,11.33506935,0.507882294,0.480478088,2.706696347
15890,Kronos 1,4713.421392,7.0,95.91253745,97.44703933,0.377364742,11.35612611,0.542758179,0.498196684,2.709606585
15891,Kronos 1,4713.573736,7.0,95.77228137,95.20516701,0.361284603,11.48960061,0.5161394970000001,0.488938133,2.710614419
15892,Kronos 1,4713.726079,7.0,95.67998698,93.72634414,0.35909151,11.15895518,0.5147093189999999,0.508991954,2.701423759
15893,Kronos 1,4713.878423,7.0,95.4265035,89.7488444,0.35995162,10.56617284,0.619163237,0.627497588,2.68031097
15894,Kronos 1,4714.030767,7.0,94.15291357,86.4786837,0.382972488,9.991558384,0.716015656,0.734475255,2.662551132
15895,Kronos 1,4714.183111,7.0,91.72672713,79.47331675,0.375216502,9.769523143999999,0.84943218,0.874272029,2.647337344
15896,Kronos 1,4714.335455,7.0,88.65180067,73.21893606,0.362729346,9.758357959,1.053211099,1.170425213,2.640013961
15897,Kronos 1,4714.487798,7.0,85.28527254,66.15371705,0.348337003,9.835839986,1.3422171980000002,1.5136789590000002,2.632474692
15898,Kronos 1,4714.640142,7.0,82.05662054,61.73693460000001,0.341401329,9.890816592,1.567296334,1.681819834,2.634462929
15899,Kronos 1,4714.792486,7.0,79.19980436,60.96785017,0.3418447,10.0612919,1.5200319,1.631304438,2.631223999
15900,Kronos 1,4714.94483,7.0,76.81574588,62.25253023,0.377500795,10.03693512,1.328010549,1.307616582,2.630747415
15901,Kronos 1,4715.097174,7.0,75.89793529,63.76791562,0.390364648,9.952807599,1.152708026,1.11220041,2.626545873
15902,Kronos 1,4715.249517,7.0,76.83897084,62.61400576,0.405832259,9.904859731,1.039441813,1.001211152,2.63585949
15903,Kronos 1,4715.401861,7.0,78.78165486,60.79551207,0.426318076,10.07197168,1.002725791,0.964561218,2.645042676
15904,Kronos 1,4715.554205,7.0,80.72846963,58.82435543,0.426898846,10.12125924,0.97273884,0.970021739,2.649032248
15905,Kronos 1,4715.706549,7.0,81.64394355,55.92578817,0.438116253,10.10742391,1.207300082,1.203509835,2.6403286980000003
15906,Kronos 1,4715.858893,7.0,81.33985027,51.96617091,0.385663026,10.07432667,1.753785165,1.709918586,2.636152257
15907,Kronos 1,4716.011236,7.0,80.27447068,48.56113729,0.367321447,10.03975203,2.7338785860000003,2.539301862,2.639123246
15908,Kronos 1,4716.16358,7.0,78.64481236,47.36997444,0.374716445,10.0305013,3.526803424,3.214629085,2.64717301
15909,Kronos 1,4716.315924,7.0,76.25428975,47.64243008,0.35667846200000003,9.914153515,3.755852409,3.507000604,2.653118276
15910,Kronos 1,4716.468268,7.0,73.63609618,47.36940337,0.32735811800000003,9.847730783,3.924222635,3.714101561,2.655931174
15911,Kronos 1,4716.620612,7.0,71.40134787,46.75897696,0.326651382,9.698588629,3.882381805,3.722786442,2.658254207
15912,Kronos 1,4716.772955,7.0,69.75243217,46.76021594,0.338704384,9.716948967999999,3.950618522,3.75226533,2.660296513
15913,Kronos 1,4716.925299,7.0,68.89578664,47.97106526,0.360506906,9.864344785,4.0515755439999985,3.800380843,2.66297954
15914,Kronos 1,4717.077643,7.0,68.88605224,48.61305932,0.33975162,10.02326267,4.185176846,3.936220817,2.672289808
15915,Kronos 1,4717.229987,7.0,69.35011144,48.33244388,0.328319943,10.05179586,4.736705507,4.63570649,2.681499629
15916,Kronos 1,4717.382331,7.0,69.61301895,48.22474531,0.309289441,10.03786637,5.500192462999999,5.518444239,2.6919336730000003
15917,Kronos 1,4717.534674,7.0,69.10892395,48.33995308,0.289616642,10.02493405,6.013555117999999,6.107100746,2.698107957
15918,Kronos 1,4717.687018,7.0,67.77537039,48.88993551,0.28388101,10.02606184,6.472759158,6.641581127,2.706173559
