,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
123584,Poseidon 1,4591.072259000001,2.0,73.28547119,27.27809485,0.117128813,4.154891377,4.024208294,4.470527713,2.499356002
123585,Poseidon 1,4591.2246030000015,2.0,70.19772059999998,27.61067549,0.111748133,4.335341623,4.108168681,4.48960523,2.474321205
123586,Poseidon 1,4591.376946,2.0,68.19724628,28.68801349,0.112743929,4.003154683,4.317231902,4.600447505,2.477584174
123587,Poseidon 1,4591.52929,2.0,67.11364026,36.99882975,0.121901909,3.268561094,4.482146646,4.645744131,2.464096392
123588,Poseidon 1,4591.681634000001,2.0,67.20835785,35.01522449,0.130142043,3.345837533,4.463992199,4.603284715,2.482999347
123589,Poseidon 1,4591.8339780000015,2.0,68.90625151,32.74465406,0.136373681,3.170446728,4.323182665,4.466143688,2.480139653
123590,Poseidon 1,4591.986322,2.0,70.53598886,40.74931979,0.133724218,3.320326179,4.168824078,4.308202102,2.481794324
123591,Poseidon 1,4592.138665,2.0,70.93689678,38.34031218,0.134859237,3.52761929,4.257198875,4.428475067,2.487375288
123592,Poseidon 1,4592.291009000001,2.0,70.98234506,43.26051804,0.13470306,3.342324022,4.517118359,4.57331929,2.481343213
123593,Poseidon 1,4592.4433530000015,2.0,70.89912286,40.92933317,0.134359441,3.527230911,4.6872788860000005,4.656267076000001,2.491430899
123594,Poseidon 1,4592.595697,2.0,71.48640893,39.29951214,0.133191082,3.3811853810000003,4.527416733,4.538022622,2.4923235530000003
123595,Poseidon 1,4592.748041,2.0,72.26365890000002,38.46422778,0.132991525,3.096706682,4.572970101,4.631642877,2.49240868
123596,Poseidon 1,4592.900384000001,2.0,71.55074778,40.03515146,0.13470485,3.2454413310000003,4.611658376,4.55572638,2.5175324
123597,Poseidon 1,4593.0527280000015,2.0,72.51871857,52.29234046,0.140045424,3.115720419,4.072572009,4.054470563,2.498416079
123598,Poseidon 1,4593.205072,2.0,73.17113091,48.70023661,0.140940993,3.30317858,3.645471636,3.720011872,2.503063174
123599,Poseidon 1,4593.357416,2.0,74.43777796,44.77991348,0.136972402,3.289536447,3.906484436,3.9094992999999993,2.508567254
123600,Poseidon 1,4593.50976,2.0,74.40043199,42.29648076,0.133487993,3.330432618,4.052693303,4.117109666,2.513598999
123601,Poseidon 1,4593.6621030000015,2.0,73.72822684,49.66148873,0.142382197,3.049315055,3.632811294,3.752066237,2.500479487
123602,Poseidon 1,4593.814447,2.0,74.79685227,54.97744597,0.152409753,3.22875798,3.351859242,3.349958146,2.506231137
123603,Poseidon 1,4593.966791,2.0,76.46510478,55.50923159,0.15696422599999998,3.277457037,3.240781606,3.304922378,2.502505476
123604,Poseidon 1,4594.119135,2.0,76.73645057,46.96293136,0.151302316,3.347279965,3.292351585,3.381802346,2.5008409
123605,Poseidon 1,4594.271479,2.0,76.86391454,45.10708094,0.14571885099999998,3.628475581,3.292901086,3.293789503,2.498011298
123606,Poseidon 1,4594.423822,2.0,75.61904726,47.23887879,0.13917839699999998,3.857899492,3.330580432,3.442079467,2.511827283
123607,Poseidon 1,4594.576166,2.0,76.14980959999998,47.60072872,0.138684005,3.863550855,3.346254572,3.389032039,2.50161078
123608,Poseidon 1,4594.72851,2.0,75.41953416,48.35679943,0.14089878,3.461545143,3.442751186,3.425476966,2.503236352
123609,Poseidon 1,4594.880854,2.0,75.17307406,50.10775435,0.14378439699999998,3.380583293,3.504560837,3.503847135,2.498716776
123610,Poseidon 1,4595.033198,2.0,75.37892222,56.21219823,0.1447315,3.287201753,3.488985024,3.54186946,2.490678281
123611,Poseidon 1,4595.185541,2.0,75.84256955,56.08012383,0.149080619,3.333449984,3.1322531710000003,3.230577186,2.499967164
123612,Poseidon 1,4595.337885,2.0,77.51050505,50.97017605,0.152853825,3.640264769,2.921606521,2.960890708,2.518896305
123613,Poseidon 1,4595.490229,2.0,77.33724302,52.71725726,0.155466443,3.28922683,3.012539104,3.058854006,2.489979367
123614,Poseidon 1,4595.642573,2.0,75.33442935,48.62201579,0.150949134,3.109314538,3.408489417,3.428572197,2.514834412
123615,Poseidon 1,4595.794917,2.0,74.32921786,45.56973291,0.152880405,3.632476944,3.813795442,3.856884203,2.515189732
