,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
19942,Poseidon North 1,3782.720459000001,6.0,69.94580078,25.76226044,0.16518840199999998,26.50155067,3.893373013,3.919972897,3.273828983
19943,Poseidon North 1,3782.872803,6.0,69.70079801,24.96689006,0.176028207,31.28587471,3.834196999,3.873455015,2.853778975
19944,Poseidon North 1,3783.025147,6.0,69.66369574,24.55242928,0.176669402,24.54465867,3.764988787,3.823497926,2.698179941
19945,Poseidon North 1,3783.17749,6.0,68.82209752,24.67081886,0.173140295,21.6499093,3.594042822,3.695119876,2.66860103
19946,Poseidon North 1,3783.329834000001,6.0,68.62391348,23.6262432,0.16750262300000002,21.1349949,3.4461267610000004,3.527470295,2.664320884
19947,Poseidon North 1,3783.482178,6.0,68.35512868,21.6132659,0.16458306,21.60345737,3.495564437,3.5475014380000003,2.703069767
19948,Poseidon North 1,3783.634522,6.0,68.41041027,21.51792795,0.16055534400000002,21.10783604,3.572958044,3.609058468,2.733858686
19949,Poseidon North 1,3783.786866,6.0,68.15530864,22.95063374,0.157655645,20.74953354,3.541501597,3.589731121,2.769117662
19950,Poseidon North 1,3783.939209000001,6.0,67.85795479,24.33340137,0.161268596,20.3750702,3.478951428,3.524568866,2.8294316000000004
19951,Poseidon North 1,3784.091553,6.0,67.77815398,25.91446631,0.16903878,18.66467958,3.548806935,3.572043788,2.948686567
19952,Poseidon North 1,3784.243897,6.0,68.18289553,24.47799065,0.17748017100000002,15.94294558,3.88041454,3.911265771,3.1301991
19953,Poseidon North 1,3784.396241,6.0,69.09995659,19.4965039,0.17381824699999998,13.55513079,4.138985938,4.196366845,3.293700791
19954,Poseidon North 1,3784.548585,6.0,69.90383982,17.24473353,0.163780813,13.1237822,4.10266515,4.1726607310000015,3.355558462
19955,Poseidon North 1,3784.700928,6.0,70.96161068,20.27370743,0.15458266199999998,13.53071601,3.872422374,3.954767194,3.436301787
19956,Poseidon North 1,3784.853272,6.0,71.13110353,25.06027934,0.15000598099999998,13.86180163,3.626637878,3.725192982,3.460380898
19957,Poseidon North 1,3785.005616,6.0,71.52679595,28.18875189,0.150802255,13.99553231,3.481389345,3.593724227,3.442843274
