,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
9137,Torosa 1,3668.191474,6.0,71.01762033,42.58396837,0.116825585,3.836116584,4.957675901,5.31059415,2.580925407
9138,Torosa 1,3668.343818,6.0,71.03557662,42.90504874,0.118895772,3.961885815,3.53201664,3.79428386,2.583248614
9139,Torosa 1,3668.496162,6.0,70.87596382,42.48564954,0.11908368,4.127206481,3.5874184060000003,3.852941103,2.590238835
9140,Torosa 1,3668.6485060000014,6.0,70.53844709,41.31138951,0.126190025,4.0874806810000015,2.9201928460000004,3.141309687,2.57848295
9141,Torosa 1,3668.800849,6.0,70.87329293,40.65732285,0.132796296,4.067109404,2.950757936,3.176894693,2.600523179
9142,Torosa 1,3668.953193,6.0,71.52805922,39.8888634,0.1275132,4.053653852,5.080561981000001,5.473794151,2.618343707
9143,Torosa 1,3669.105537,6.0,72.23802263,40.1183984,0.11909925,3.991672625,5.675252335,6.093405424,2.601851534
9144,Torosa 1,3669.2578810000014,6.0,72.32092928,41.67001826,0.117496314,3.925684118,4.044435207,4.320488341,2.574666931
9145,Torosa 1,3669.410225,6.0,71.20493741,43.65252004,0.120978067,3.943103507,3.312756701,3.53050695,2.574130358
9146,Torosa 1,3669.562568,6.0,70.69722807,44.37674301,0.126858666,4.029518369,3.660162741,3.896234755,2.581631495
9147,Torosa 1,3669.714912,6.0,71.89487068,44.0854069,0.134792129,4.033358426,3.441580678,3.683503254,2.571868584
9148,Torosa 1,3669.8672560000014,6.0,73.44631148,44.0357326,0.139280396,3.956355356,2.665752893,2.870648554,2.570174883
9149,Torosa 1,3670.0196,6.0,73.89823212,43.80878956,0.129418853,3.926932135,3.0078117110000004,3.2355731160000003,2.598341321
9150,Torosa 1,3670.171944,6.0,74.75719221,42.257876,0.11540109,3.958424339,5.085916115,5.471287514,2.631784459
9151,Torosa 1,3670.324287,6.0,76.68173115,40.16693879,0.115467992,3.929437774,6.190769621,6.717369392999999,2.622559225
9152,Torosa 1,3670.4766310000014,6.0,78.59470773,41.82786734,0.132560284,3.866191888,4.314997812,4.729565035,2.580835969
9153,Torosa 1,3670.628975,6.0,79.9211531,45.62740135,0.15405476099999998,3.797419036,2.186453107,2.41031953,2.5370690380000003
9154,Torosa 1,3670.781319,6.0,80.28850482,47.74967559,0.166252831,3.796134105,2.016982313,2.21798394,2.544772023
9155,Torosa 1,3670.933663,6.0,79.10396729,47.55036636,0.16514499300000002,3.863945621,3.20710422,3.505550708,2.5887842780000003
9156,Torosa 1,3671.0860060000014,6.0,77.53090065,48.07717487,0.159828852,3.843339822,3.023007005,3.315464878,2.565262108
9157,Torosa 1,3671.23835,6.0,76.67535257,49.97725135,0.17054860800000002,3.779344487,1.7644051669999998,1.943523746,2.525111494
9158,Torosa 1,3671.390694,6.0,75.88867964,51.62736385,0.187100726,3.84992734,1.748512983,1.924974849,2.546230704
9159,Torosa 1,3671.543038,6.0,74.40034978,50.64356042,0.187031562,3.906028074,1.914278346,2.102235947,2.560372898
9160,Torosa 1,3671.695382,6.0,72.55609854,46.5342218,0.171203192,3.886855637,2.122856801,2.331859063,2.584072727
9161,Torosa 1,3671.847725,6.0,71.90545409,42.28550309,0.147624215,3.884531466,4.0505174880000006,4.416488235,2.6194039630000003
9162,Torosa 1,3672.000069,6.0,71.86166926,41.26839082,0.130015943,3.817962414,5.075678596,5.484765444,2.60878246
9163,Torosa 1,3672.152413,6.0,71.65809892,42.05268706,0.129294975,3.752219445,3.467931408,3.705346415,2.569761868
9164,Torosa 1,3672.304757,6.0,71.73301697,41.28276285,0.141550032,3.808833231,2.979479429,3.170396116,2.561199035
9165,Torosa 1,3672.457101,6.0,73.25703508,39.5800411,0.14604529,3.876621283,4.23778117,4.527952692,2.583028219
9166,Torosa 1,3672.609444,6.0,75.35482405,40.0355196,0.137245285,3.842562932,4.31171232,4.625041426,2.578199889
9167,Torosa 1,3672.761788,6.0,77.60922271,42.5559435,0.130519086,3.767065056,3.417067582,3.657886431,2.573550672
9168,Torosa 1,3672.914132,6.0,79.22365400000002,44.19839175,0.130447092,3.775075526,4.094813816,4.372424566,2.592306372
9169,Torosa 1,3673.066476,6.0,79.15585388,44.68643667,0.133802428,3.877508251,4.648568732,4.989125961,2.605425479
9170,Torosa 1,3673.2188200000014,6.0,79.30779385,45.96641773,0.139642837,3.900544513,3.140192538,3.391348185,2.576280046
9171,Torosa 1,3673.371163,6.0,79.45524704,48.91443204,0.157335359,3.822086487,1.6878444419999998,1.838588948,2.517345495
9172,Torosa 1,3673.523507,6.0,77.82994907,52.63865598,0.17675476199999998,3.797102742,1.664558522,1.798934736,2.505971575
9173,Torosa 1,3673.675851,6.0,75.48003336,53.28428475,0.181895504,3.868160645,1.932770149,2.090621768,2.532245187
9174,Torosa 1,3673.8281950000014,6.0,73.87971366,49.1106265,0.17096778699999998,3.970817426,2.371543464,2.594332172,2.57272209
9175,Torosa 1,3673.980539,6.0,72.92344979,44.41119453,0.15388826,4.036877657,2.924254309,3.225262155,2.587314735
9176,Torosa 1,3674.132882,6.0,72.93397987,41.91937921,0.145225983,4.029803602,2.534823467,2.804904972,2.564489884
9177,Torosa 1,3674.285226,6.0,74.11547919,42.22765787,0.144842793,4.028515479,2.481372399,2.756719219,2.572167696
9178,Torosa 1,3674.4375700000014,6.0,75.93063708,42.70726226,0.143690567,4.122184109,4.888462452,5.37841804,2.591759464
9179,Torosa 1,3674.589914,6.0,77.74307361,41.59522923,0.136571491,4.216983354,6.362797287,6.938778134,2.611057764
9180,Torosa 1,3674.742258,6.0,78.63834342,41.56085081,0.13165593,4.122053998,4.388605757,4.772106595,2.596407631
9181,Torosa 1,3674.894601,6.0,78.05742274,44.04080182,0.140027539,3.992741602,2.443502895,2.65698806,2.563916817
9182,Torosa 1,3675.0469450000014,6.0,77.13525033,46.85378164,0.157989336,3.97482069,2.020621343,2.209290475,2.55567701
9183,Torosa 1,3675.199289,6.0,76.15565599,48.84565414,0.17327832699999998,3.961496329,1.933783983,2.133238702,2.547594247
9184,Torosa 1,3675.351633,6.0,74.79494357,49.84966302,0.177314081,3.956031567,1.840345685,2.044113148,2.521468822
9185,Torosa 1,3675.503977,6.0,73.7276536,48.93900592,0.167859938,4.031206597,2.394476529,2.669571129,2.532574275
9186,Torosa 1,3675.6563200000014,6.0,73.55763197,46.28538816,0.150924542,4.101807109,3.886294961,4.342930879,2.586429787
9187,Torosa 1,3675.808664,6.0,73.51293541,42.95963887,0.13396270300000002,4.105882028,4.308234462,4.8181195180000005,2.602820747
9188,Torosa 1,3675.961008,6.0,72.98587939,43.43712634,0.126161432,4.0715087589999985,3.06955196,3.423112589,2.5822179480000003
9189,Torosa 1,3676.113352,6.0,71.39706227,45.88153223,0.130681439,4.069527124,2.585314411,2.844255565,2.568276407
9190,Torosa 1,3676.265696,6.0,70.13192229,46.18515643,0.135016832,4.099891072,3.212857995,3.5130002730000003,2.584142447
9191,Torosa 1,3676.418039,6.0,70.21218059,45.5585092,0.134553959,4.140309914,3.0381560060000004,3.306933148,2.590468856
9192,Torosa 1,3676.570383,6.0,70.45750149,45.69497339,0.135352546,4.160298208,2.847695036,3.064994828,2.572876228
9193,Torosa 1,3676.722727,6.0,69.84597242,46.31901695,0.133043473,4.175768784,5.3367321830000005,5.705632014,2.580006165
9194,Torosa 1,3676.875071,6.0,69.23557549,43.83447837,0.119897079,4.257410808,8.093264204,8.615666129,2.609971455
9195,Torosa 1,3677.027415,6.0,69.45171517,40.17636047,0.107133876,4.274059142,6.137812607000001,6.5460872310000005,2.626461054
9196,Torosa 1,3677.179758,6.0,69.57179121,39.42548763,0.112537116,4.194507457,2.935094382,3.148863827,2.600414237
9197,Torosa 1,3677.332102,6.0,69.63010657,41.50828141,0.127631516,4.171899545,2.80213013,3.009353941,2.567459042
9198,Torosa 1,3677.484446,6.0,69.66148332,42.77842067,0.132580734,4.21444726,3.863561122,4.1649937580000005,2.57354219
9199,Torosa 1,3677.63679,6.0,69.41379035,42.30037195,0.119689948,4.3022792260000005,7.065481794,7.502375121,2.606911409
