,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
0,Pharos 1,4042.105225,2.0,102.0895004,90.02806091,0.288008213,8.560943604,0.682323515,0.668007314,2.512794018
1,Pharos 1,4042.257568,2.0,102.281807,87.81466675,0.284249008,8.54751873,0.699957073,0.674942374,2.513077021
2,Pharos 1,4042.409912,2.0,102.7065964,87.72358874,0.284346106,8.612375337000001,0.73413933,0.677179277,2.510984894
3,Pharos 1,4042.562256,2.0,102.7744884,90.3145072,0.287467011,8.730058058,0.7443233929999999,0.678075249,2.5061686880000003
4,Pharos 1,4042.7146,2.0,102.5489612,93.04682431,0.290088003,8.822198224,0.689984079,0.685729148,2.501671126
5,Pharos 1,4042.866944,2.0,103.0042666,94.41356398,0.289377048,8.856822995,0.642344672,0.68968885,2.499465415
6,Pharos 1,4043.019287,2.0,103.9965103,94.68855028,0.286926234,8.846922626,0.682021172,0.6900317640000001,2.497176735
7,Pharos 1,4043.171631,2.0,103.9469643,94.53824143,0.285404663,8.845480725,0.716958832,0.68997081,2.493082056
8,Pharos 1,4043.323975,2.0,103.2235229,93.56684018,0.283920065,8.850063843,0.6685991170000001,0.680412722,2.491606642
9,Pharos 1,4043.476319,2.0,102.2044684,91.86696165,0.282023071,8.822941214,0.639282201,0.6727118120000001,2.49442505
10,Pharos 1,4043.628663,2.0,101.520885,91.37924995,0.279968791,8.775790713,0.683485432,0.671942777,2.497994668
11,Pharos 1,4043.781006,2.0,101.857714,92.00047944,0.278353256,8.759401971,0.699259385,0.680897913,2.497769876
12,Pharos 1,4043.93335,2.0,101.8942308,92.50455375,0.27724461100000003,8.776933808999999,0.6763999009999999,0.697859287,2.493910549
13,Pharos 1,4044.085694,2.0,101.974915,91.77086414,0.277852644,8.797333887999999,0.655835709,0.700296713,2.49113033
14,Pharos 1,4044.238038,2.0,102.2161381,89.51877866,0.282025271,8.816361622999999,0.649729871,0.686396445,2.4894541880000003
15,Pharos 1,4044.390382,2.0,102.3932472,87.24533273,0.28661136600000003,8.831966868,0.678205609,0.693625286,2.48752235
16,Pharos 1,4044.542725,2.0,102.6443928,86.35230368,0.287250925,8.824300996,0.722538338,0.70636411,2.484826215
17,Pharos 1,4044.695069,2.0,102.6746127,87.67465199,0.28520105,8.801259423,0.7429696459999999,0.693517158,2.483665446
18,Pharos 1,4044.847413,2.0,102.6877143,90.36166417,0.283341803,8.812957697,0.7727119090000001,0.675099181,2.485464374
19,Pharos 1,4044.999757,2.0,102.8605883,93.02826595,0.284295475,8.833409592,0.7917315359999999,0.667389624,2.487663949
20,Pharos 1,4045.152101,2.0,102.8533691,94.15376534,0.285596576,8.776060738,0.698256854,0.667274413,2.488910046
21,Pharos 1,4045.304444,2.0,102.7476559,94.27600203,0.283565369,8.620604222999999,0.636680467,0.652862394,2.4902721000000003
22,Pharos 1,4045.456788,2.0,102.54731,93.43677279,0.278586855,8.454358312,0.669093074,0.655779498,2.4926954130000003
23,Pharos 1,4045.609132,2.0,102.3884683,91.65315623,0.273918755,8.351689847000001,0.693588282,0.671483284,2.4957890380000003
